plot_id,stand_id,clone,age2,SI,Dmean,DGM,Hmean,HGM,Hdom,N,G,V,f_veg_2m,f_havg,f_hstd,f_h10,f_h30,f_h50,f_h70,f_h90,f_h95,f_p10,f_p30,f_p50,f_p70,f_p90,f_p95,l_havg,l_hstd,l_h10,l_h30,l_h50,l_h70,l_h90,l_h95,l_p10,l_p30,l_p50,l_p70,l_p90,l_p95
1,1,3683,2.8,35.510,13.962,14.500,21.722,22.115,22.552,847.571,13.160,145.383,89.346,16.002,6.337,16.209,17.463,18.632,19.753,21.229,21.663,23.592,42.618,60.426,77.169,92.846,96.499,2.261,6.342,18.149,19.613,20.524,21.209,22.306,24.161,90.256,92.652,94.888,96.965,99.201,99.681
2,1,3683,2.8,36.242,14.520,14.900,22.147,22.298,23.016,828.736,13.862,154.377,95.742,17.108,4.954,16.085,17.460,18.723,20.205,21.423,21.795,18.894,39.207,58.150,75.771,92.168,96.133,1.731,5.656,18.726,20.628,21.193,21.602,22.107,22.342,92.676,94.370,96.064,97.658,99.253,99.651
4,1,3683,2.8,35.756,14.256,14.700,21.884,22.207,22.708,772.231,12.456,137.647,93.822,16.090,4.910,15.222,16.517,17.609,18.793,20.357,20.780,19.050,39.302,58.181,75.858,92.277,96.224,1.146,4.540,17.880,19.285,20.035,20.729,21.191,21.345,94.900,96.131,97.245,98.417,99.472,99.766
5,2,3684,2.8,32.697,14.483,15.200,20.241,20.541,20.765,866.406,14.430,152.313,98.391,15.630,2.769,13.963,15.106,16.167,17.222,18.397,18.711,13.903,35.396,55.363,74.134,91.708,95.916,1.652,5.067,15.238,17.231,18.137,18.624,18.978,19.311,91.727,93.735,95.622,97.390,99.157,99.598
6,2,3684,2.8,32.997,14.759,15.100,20.388,20.511,20.955,828.736,14.232,150.295,98.443,14.886,2.679,13.561,14.599,15.433,16.267,17.423,17.966,14.360,35.467,55.363,74.048,91.869,96.021,2.021,5.470,15.433,16.565,16.883,17.457,18.356,18.462,89.437,91.901,94.366,96.655,98.944,99.472
7,2,3684,2.8,32.913,14.254,14.900,20.241,20.450,20.902,866.406,13.959,148.063,96.049,15.324,3.742,13.542,15.359,16.497,17.460,18.586,19.004,16.523,37.716,56.897,74.928,92.026,96.049,2.743,6.328,14.561,17.133,18.075,18.678,19.298,19.542,86.261,89.640,92.793,95.721,98.649,99.324
8,2,3684,2.8,33.198,15.040,15.400,20.457,20.599,21.083,809.901,14.463,152.259,96.273,15.546,3.892,14.344,15.554,16.720,17.714,18.839,19.210,16.864,37.591,56.864,74.909,91.955,96.045,2.076,5.741,16.483,18.134,18.614,19.130,19.632,19.913,90.000,92.407,94.630,96.852,98.981,99.491
9,3,3722,2.5,38.443,15.186,15.700,21.846,21.500,22.522,791.066,14.464,160.893,93.462,15.289,5.357,14.096,15.657,17.443,18.982,20.421,21.027,21.346,41.923,60.577,77.308,92.885,96.538,3.492,7.405,17.507,18.934,19.646,20.195,21.051,21.294,84.072,87.849,91.461,95.074,98.522,99.343
10,3,3722,2.5,39.216,16.476,16.800,22.291,22.447,22.974,621.552,13.361,147.627,82.504,13.392,6.639,13.645,15.296,16.592,18.200,20.029,20.712,28.816,47.341,64.151,79.588,93.654,96.913,4.094,7.805,16.866,18.483,19.328,19.963,20.912,21.195,81.002,85.665,89.983,94.128,98.100,99.136
11,3,3722,2.5,38.775,15.928,16.400,22.041,21.500,22.716,602.717,12.128,133.989,87.100,13.432,5.918,13.152,14.948,15.918,17.317,19.725,20.210,26.304,45.151,62.580,78.820,93.413,96.752,2.995,6.771,15.941,17.801,18.818,19.743,20.448,20.667,85.681,89.192,92.471,95.612,98.568,99.307
